Station,Year,Month,Day,Night,DayLimit,NightLimit
KOL02,2018,8,73,73,65,55
KOL02,2018,9,71,72,65,55
KOL02,2018,10,63,60,65,55
KOL02,2018,11,70,69,65,55
KOL02,2018,12,71,72,65,55
KOL03,2018,1,69,69,55,45
KOL03,2018,2,61,60,55,45
KOL03,2018,3,66,64,55,45
KOL03,2018,4,66,64,55,45
KOL03,2018,5,61,60,55,45
KOL03,2018,6,59,59,55,45
KOL03,2018,7,66,67,55,45
KOL03,2018,8,65,66,55,45
KOL03,2018,9,61,62,55,45
KOL03,2018,10,62,62,55,45
KOL03,2018,11,62,62,55,45
KOL03,2018,12,53,53,55,45
KOL04,2018,1,65,58,50,40
KOL04,2018,2,65,59,50,40
KOL04,2018,3,65,60,50,40
KOL04,2018,4,66,62,50,40
KOL04,2018,5,66,61,50,40
KOL04,2018,6,65,60,50,40
KOL04,2018,7,66,61,50,40
KOL04,2018,8,67,61,50,40
KOL04,2018,9,67,62,50,40
KOL04,2018,10,71,70,50,40
KOL04,2018,11,75,77,50,40
KOL04,2018,12,68,65,50,40
KOL05,2018,1,62,57,65,55
KOL05,2018,2,63,58,65,55
KOL05,2018,3,62,57,65,55
KOL05,2018,4,62,58,65,55
KOL05,2018,5,63,57,65,55
KOL05,2018,6,64,58,65,55
KOL05,2018,7,66,62,65,55
KOL05,2018,8,70,69,65,55
KOL05,2018,9,69,67,65,55
KOL05,2018,10,64,63,65,55
KOL05,2018,11,62,58,65,55
KOL05,2018,12,63,57,65,55
KOL06,2018,1,61,51,55,45
KOL06,2018,2,59,52,55,45
KOL06,2018,3,60,54,55,45
KOL06,2018,4,62,58,55,45
KOL06,2018,5,64,61,55,45
KOL06,2018,6,60,55,55,45
KOL06,2018,7,61,56,55,45
KOL06,2018,8,60,54,55,45
KOL06,2018,9,71,66,55,45
KOL06,2018,10,83,81,55,45
KOL06,2018,11,59,53,55,45
KOL06,2018,12,65,57,55,45
KOL07,2018,1,63,57,50,40
KOL07,2018,2,65,59,50,40
KOL07,2018,3,64,60,50,40
KOL07,2018,4,67,60,50,40
KOL07,2018,5,69,62,50,40
KOL07,2018,6,66,60,50,40
KOL07,2018,7,66,61,50,40
KOL07,2018,8,66,61,50,40
KOL07,2018,9,65,60,50,40
KOL07,2018,10,63,59,50,40
KOL07,2018,11,64,59,50,40
KOL07,2018,12,67,59,50,40
KOL08,2018,1,67,64,65,55
KOL08,2018,2,67,64,65,55
KOL08,2018,3,66,64,65,55
KOL08,2018,4,67,64,65,55
KOL08,2018,5,67,64,65,55
KOL08,2018,6,67,64,65,55
KOL08,2018,7,67,64,65,55
KOL08,2018,8,67,64,65,55
KOL08,2018,9,68,64,65,55
KOL08,2018,10,67,65,65,55
KOL08,2018,11,67,65,65,55
KOL08,2018,12,67,64,65,55
KOL09,2018,1,75,69,55,45
KOL09,2018,2,75,69,55,45
KOL09,2018,3,73,68,55,45
KOL09,2018,4,74,69,55,45
KOL09,2018,5,74,69,55,45
KOL09,2018,6,74,69,55,45
KOL09,2018,7,75,69,55,45
KOL09,2018,8,76,70,55,45
KOL09,2018,9,75,70,55,45
KOL09,2018,10,75,71,55,45
KOL09,2018,11,75,70,55,45
KOL09,2018,12,75,69,55,45
KOL10,2018,1,64,60,75,70
KOL10,2018,2,64,60,75,70
KOL10,2018,3,64,61,75,70
KOL10,2018,4,66,63,75,70
KOL10,2018,5,67,63,75,70
KOL10,2018,6,65,62,75,70
KOL10,2018,7,65,61,75,70
KOL10,2018,8,63,60,75,70
KOL10,2018,9,65,61,75,70
KOL10,2018,10,64,61,75,70
KOL10,2018,11,64,61,75,70
KOL10,2018,12,68,64,75,70
LUC01,2018,1,68,61,75,70
LUC01,2018,2,68,62,75,70
LUC01,2018,3,67,61,75,70
LUC01,2018,4,68,61,75,70
LUC01,2018,5,68,62,75,70
LUC01,2018,6,69,65,75,70
LUC01,2018,7,68,61,75,70
LUC01,2018,8,67,60,75,70
LUC01,2018,9,67,61,75,70
LUC01,2018,10,64,58,75,70
LUC01,2018,11,62,55,75,70
LUC01,2018,12,62,55,75,70
LUC02,2018,1,73,71,65,55
LUC02,2018,2,71,68,65,55
LUC02,2018,3,75,69,65,55
LUC02,2018,4,73,68,65,55
LUC02,2018,5,74,69,65,55
LUC02,2018,6,71,67,65,55
LUC02,2018,7,69,63,65,55
LUC02,2018,8,55,49,65,55
LUC02,2018,9,55,53,65,55
LUC02,2018,10,63,60,65,55
LUC02,2018,11,69,66,65,55
LUC02,2018,12,70,68,65,55
LUC03,2018,1,58,49,50,40
LUC03,2018,2,59,51,50,40
LUC03,2018,3,59,53,50,40
LUC03,2018,4,60,55,50,40
LUC03,2018,5,62,57,50,40
LUC03,2018,6,64,56,50,40
LUC03,2018,7,57,52,50,40
LUC03,2018,8,54,48,50,40
LUC03,2018,9,55,49,50,40
LUC03,2018,10,58,53,50,40
LUC03,2018,11,60,53,50,40
LUC03,2018,12,60,54,50,40
LUC04,2018,1,57,44,55,45
LUC04,2018,2,58,48,55,45
LUC04,2018,3,57,51,55,45
LUC04,2018,4,57,52,55,45
LUC04,2018,5,56,54,55,45
LUC04,2018,6,55,53,55,45
LUC04,2018,7,55,51,55,45
LUC04,2018,8,46,40,55,45
LUC04,2018,9,46,40,55,45
LUC04,2018,10,52,43,55,45
LUC04,2018,11,52,41,55,45
LUC04,2018,12,51,37,55,45
LUC05,2018,1,65,57,50,40
LUC05,2018,2,66,59,50,40
LUC05,2018,3,65,59,50,40
LUC05,2018,4,65,60,50,40
LUC05,2018,5,66,61,50,40
LUC05,2018,6,66,61,50,40
LUC05,2018,7,66,60,50,40
LUC05,2018,8,66,59,50,40
LUC05,2018,9,66,60,50,40
LUC05,2018,10,66,60,50,40
LUC05,2018,11,66,60,50,40
LUC05,2018,12,67,60,50,40
LUC06,2018,1,64,54,75,70
LUC06,2018,2,65,57,75,70
LUC06,2018,3,65,56,75,70
LUC06,2018,4,63,54,75,70
LUC06,2018,5,69,55,75,70
LUC06,2018,6,64,54,75,70
LUC06,2018,7,64,57,75,70
LUC06,2018,8,66,56,75,70
LUC06,2018,9,66,56,75,70
LUC06,2018,10,66,58,75,70
LUC06,2018,11,65,59,75,70
LUC06,2018,12,67,57,75,70
LUC07,2018,1,66,58,50,40
LUC07,2018,2,65,59,50,40
LUC07,2018,3,65,59,50,40
LUC07,2018,4,65,61,50,40
LUC07,2018,5,65,61,50,40
LUC07,2018,6,66,62,50,40
LUC07,2018,7,66,60,50,40
LUC07,2018,8,65,59,50,40
LUC07,2018,9,65,61,50,40
LUC07,2018,10,65,60,50,40
LUC07,2018,11,64,58,50,40
LUC07,2018,12,64,57,50,40
LUC08,2018,1,77,67,65,55
LUC08,2018,2,77,69,65,55
LUC08,2018,3,76,68,65,55
LUC08,2018,4,76,69,65,55
LUC08,2018,5,76,71,65,55
LUC08,2018,6,77,72,65,55
LUC08,2018,7,77,69,65,55
LUC08,2018,8,77,69,65,55
LUC08,2018,9,77,68,65,55
LUC08,2018,10,77,70,65,55
LUC08,2018,11,76,68,65,55
LUC08,2018,12,76,68,65,55
LUC09,2018,1,69,57,65,55
LUC09,2018,2,64,58,65,55
LUC09,2018,3,64,58,65,55
LUC09,2018,4,65,60,65,55
LUC09,2018,5,63,61,65,55
LUC09,2018,6,64,61,65,55
LUC09,2018,7,64,60,65,55
LUC09,2018,8,63,58,65,55
LUC09,2018,9,63,59,65,55
LUC09,2018,10,64,59,65,55
LUC09,2018,11,63,57,65,55
LUC09,2018,12,63,59,65,55
LUC10,2018,1,63,59,65,55
LUC10,2018,2,63,57,65,55
LUC10,2018,3,64,60,65,55
LUC10,2018,4,64,60,65,55
LUC10,2018,5,64,60,65,55
LUC10,2018,6,64,59,65,55
LUC10,2018,7,64,60,65,55
LUC10,2018,8,64,60,65,55
LUC10,2018,9,64,61,65,55
LUC10,2018,10,62,59,65,55
LUC10,2018,11,63,57,65,55
